zoom	geonameid	name	asciiname	latitude	longitude	country code	admin1 code	population
4	2306104	Accra	Accra	5.55602	-0.1969	GH		1963264
4	344979	Addis Ababa	Addis Ababa	9.02497	38.74689	ET		2757729
4	2507480	Algiers	Algiers	36.7525	3.04197	DZ		1977663
4	1070940	Antananarivo	Antananarivo	-18.91433	47.53098	MG		1391433
4	360630	Cairo	Cairo	30.06263	31.24967	EG		7734614
4	3369157	Cape Town	Cape Town	-33.91667	18.41667	ZA		3433441
4	2553604	Casablanca	Casablanca	33.59	-7.61	MA		3144909
4	2253354	Dakar	Dakar	14.6937	-17.44406	SN		2476400
4	160263	Dar es Salaam	Dar es Salaam	-6.82349	39.26951	TZ		2698652
4	993800	Johannesburg	Johannesburg	-26.20227	28.04363	ZA		2026469
4	2332459	Lagos	Lagos	6.45306	3.39583	NG		9000000
4	184745	Nairobi	Nairobi	-1.28333	36.81667	KE		2750547
4	934154	Port Louis	Port Louis	-20.16194	57.49889	MU		155226
4	2464470	Tunis	Tunis	36.81897	10.16579	TN		693210
5	2293538	Abidjan	Abidjan	5.34111	-4.02806	CI		3677115
5	361058	Alexandria	Alexandria	31.19806	29.91917	EG		3811516
5	223817	Djibouti	Djibouti	11.58767	43.14468	DJ		623891
5	2232593	Douala	Douala	4.0469	9.7084	CM		1338082
5	1007311	Durban	Durban	-29.85	31.01667	ZA		3120282
5	2548885	Fes	Fes	34.05	-4.98	MA		964891
5	933773	Gaborone	Gaborone	-24.65451	25.90859	BW		208411
5	890299	Harare	Harare	-17.82935	31.05389	ZW		1542813
5	2339354	Ibadan	Ibadan	7.38778	3.89639	NG		3565108
5	2335727	Kaduna	Kaduna	10.52224	7.43828	NG		1582102
5	232422	Kampala	Kampala	0.31628	32.58219	UG		1353189
5	2335204	Kano	Kano	11.99435	8.51381	NG		3626068
5	379252	Khartoum	Khartoum	15.54665	32.53361	SD		1974647
5	2314302	Kinshasa	Kinshasa	-4.32459	15.32146	CD		7785965
5	2399697	Libreville	Libreville	0.38333	9.45	GA		578156
5	2240449	Luanda	Luanda	-8.83833	13.23444	AO		2776168
5	909137	Lusaka	Lusaka	-15.40809	28.28636	ZM		1267440
5	53654	Mogadishu	Mogadishu	2.03711	45.34375	SO		2587183
5	2274895	Monrovia	Monrovia	6.30054	-10.7969	LR		939524
5	964137	Pretoria	Pretoria	-25.74486	28.18783	ZA		1619438
5	2210247	Tripoli	Tripoli	32.87519	13.18746	LY		1150989
5	2279755	Yamoussoukro	Yamoussoukro	6.81667	-5.28333	CI		194530
6	358619	Port Said	Port Said	31.28056	32.3075	EG		538378
6	2538475	Rabat	Rabat	34.01325	-6.83255	MA		1655753
6	359796	Suez	Suez	29.96667	32.55	EG		488125
