zoom	geonameid	name	asciiname	latitude	longitude	country code	admin1 code	population
4	1526384	Almaty	Almaty	43.25	76.95	KZ		2000900
4	98182	Baghdad	Baghdad	33.34058	44.40088	IQ		5672513
4	587084	Baku	Baku	40.37767	49.89201	AZ		1116513
4	1277333	Bangalore	Bengaluru	12.97623	77.60329	IN		5104047
4	1609350	Bangkok	Bangkok	13.75	100.51667	TH		5104476
4	1816670	Beijing	Beijing	39.9075	116.39723	CN		7480601
4	276781	Beirut	Beirut	33.88894	35.49442	LB		1916100
4	1264527	Chennai	Chennai	13.08784	80.27847	IN		4328063
4	1814906	Chongqing	Chongqing	29.56278	106.55278	CN		3967028
4	1185241	Dhaka	Dhaka	23.7104	90.40744	BD		10356500
4	292223	Dubai	Dubai	25.25222	55.28	AE		1137347
4	1809858	Guangzhou	Guangzhou	23.11667	113.25	CN		3152825
4	1566083	Ho Chi Minh City	Thanh pho Ho Chi Minh	10.75	106.66667	VN		3467331
4	1269843	Hyderabad	Hyderabad	17.37528	78.47444	IN		3597816
4	1176615	Islamabad	Islamabad	33.72148	73.04329	PK		601600
4	1642911	Jakarta	Jakarta	-6.21462	106.84513	ID		8540121
4	1174872	Karachi	Karachi	24.9056	67.0822	PK		11624219
4	1275004	Kolkata	Calcutta	22.56972	88.36972	IN		4631392
4	1735161	Kuala Lumpur	Kuala Lumpur	3.1412	101.68653	MY		1453975
4	1701668	Manila	Manila	14.58458	120.97063	PH		10444527
4	1275339	Mumbai	Mumbai	19.01441	72.84794	IN		12691836
4	1261481	New Delhi	New Delhi	28.63576	77.22445	IN		317797
4	1496747	Novosibirsk	Novosibirsk	55.04111	82.93444	RU		1419007
4	1853909	Osaka	Osaka-shi	34.69374	135.50218	JP		2592413
4	2088122	Port Moresby	Port Moresby	-9.44314	147.17972	PG		283733
4	108410	Riyadh	Riyadh	24.68773	46.72185	SA		4205961
4	1835848	Seoul	Seoul	37.56826	126.97783	KR		10349312
4	1796236	Shanghai	Shanghai	31.22222	121.45806	CN		14608512
4	1880252	Singapore	Singapore	1.28967	103.85007	SG		3547809
4	1668341	Taipei	Taipei	25.04776	121.53185	TW		7871900
4	112931	Tehran	Tehran	35.69439	51.42151	IR		7153309
4	293397	Tel Aviv	Tel Aviv	32.06667	34.76667	IL		250000
4	1850147	Tokyo	Tokyo	35.61488	139.5813	JP		8336599
5	292968	Abu Dhabi	Abu Dhabi	24.46667	54.36667	AE		603492
5	1279233	Ahmadabad	Ahmadabad	23.03333	72.61667	IN		3719710
5	170063	Aleppo	Aleppo	36.20278	37.15861	SY		1602264
5	250441	Amman	Amman	31.95522	35.94503	JO		1275857
5	323786	Ankara	Ankara	39.91987	32.85427	TR		3517182
5	162183	Ashgabat	Ashgabat	37.95	58.38333	TM		727700
5	1624917	Bandar Lampung	Tanjungkarang-Telukbetung	-5.45	105.26667	ID		800348
5	1650357	Bandung	Bandung	-6.90389	107.61861	ID		1699719
5	2038432	Baotou	Baotou	40.65222	109.82222	CN		1301768
5	1528675	Bishkek	Bishkek	42.87306	74.60028	KG		900000
5	2038180	Changchun	Changchun	43.88	125.32278	CN		2537421
