zoom	geonameid	name	asciiname	latitude	longitude	country code	admin1 code	population
4	6077243	Montréal	Montreal	45.50884	-73.58781	CA	QC	3268513
4	6167865	Toronto	Toronto	43.70011	-79.4163	CA	ON	4612191
4	6173331	Vancouver	Vancouver	49.24966	-123.11934	CA	BC	1837969
5	5913490	Calgary	Calgary	51.05011	-114.08529	CA	AB	1019942
5	5946768	Edmonton	Edmonton	53.55014	-113.46871	CA	AB	712391
5	6324729	Halifax	Halifax	44.64533	-63.57239	CA	NS	359111
5	6094817	Ottawa	Ottawa	45.41117	-75.69812	CA	ON	812129
5	6325494	Québec	Quebec	46.81228	-71.21454	CA	QC	528595
5	6183235	Winnipeg	Winnipeg	49.8844	-97.14704	CA	MB	632063
6	5894171	Barrie	Barrie	44.40011	-79.66634	CA	ON	182041
6	5920288	Charlottetown	Charlottetown	46.23525	-63.12671	CA	PE	42402
6	5957776	Fredericton	Fredericton	45.94541	-66.66558	CA	NB	52337
6	5969785	Hamilton	Hamilton	43.23341	-79.94964	CA	ON	504559
6	5990579	Kelowna	Kelowna	49.88307	-119.48568	CA	BC	125109
6	5992500	Kingston	Kingston	44.22976	-76.48098	CA	ON	114195
6	5992996	Kitchener	Kitchener	43.4501	-80.48299	CA	ON	409112
6	6058560	London	London	42.98339	-81.23304	CA	ON	346765
6	6075357	Mississauga	Mississauga	43.5789	-79.6583	CA	ON	668549
6	6119109	Regina	Regina	50.45008	-104.6178	CA	SK	176183
6	6141256	Saskatoon	Saskatoon	52.11679	-106.63452	CA	SK	198958
6	6146143	Sherbrooke	Sherbrooke	45.40008	-71.89908	CA	QC	129447
6	6324733	St. John’s	St. John's	47.56494	-52.70931	CA	NL	99182
6	5964700	Sudbury	Greater Sudbury	46.49	-80.99001	CA	ON	157857
6	6166142	Thunder Bay	Thunder Bay	48.4001	-89.31683	CA	ON	99334
6	6166142	Thunder Bay	Thunder Bay	48.4001	-89.31683	CA	ON	99334
6	6169141	Trois-Rivières	Trois-Rivieres	46.35006	-72.54912	CA	QC	119693
6	6174041	Victoria	Victoria	48.43294	-123.3693	CA	BC	289625
6	6180550	Whitehorse	Whitehorse	60.71611	-135.05375	CA	YT	23272
6	6185377	Yellowknife	Yellowknife	62.456	-114.35255	CA	NT	15865
7	5881791	Abbotsford	Abbotsford	49.05798	-122.25257	CA	BC	151683
7	5907896	Brandon	Brandon	49.84692	-99.95306	CA	MB	26234
7	5914132	Campbell River	Campbell River	50.01634	-125.24459	CA	BC	33430
7	5928065	Cornwall	Cornwall	45.01809	-74.72815	CA	ON	48821
7	5964347	Grand Prairie	Grande Prairie	55.16667	-118.80271	CA	AB	41462
7	6050610	Laval	Laval	45.56995	-73.692	CA	QC	376845
7	6053154	Lethbridge	Lethbridge	49.69999	-112.81856	CA	AB	70617
7	6071618	Medicine Hat	Medicine Hat	50.05006	-110.66834	CA	AB	63138
7	6076211	Moncton	Moncton	46.11594	-64.80186	CA	NB	87467
7	6089426	North Bay	North Bay	46.3168	-79.46633	CA	ON	50170
7	6094578	Oshawa	Oshawa	43.90012	-78.84957	CA	ON	247989
7	6101645	Peterborough	Peterborough	44.30012	-78.31623	CA	ON	75877
7	6113335	Prince Albert	Prince Albert	53.20008	-105.76772	CA	SK	34609
7	6137270	Saguenay	Saguenay	48.41675	-71.06573	CA	QC	143692
7	6141439	Sault Ste. Marie	Sault Ste. Marie	46.51677	-84.33325	CA	ON	74948
7	6138517	St. John	Saint John	45.27271	-66.06766	CA	NB	87857
7	6159905	Surrey	Surrey	49.10635	-122.82509	CA	BC	394976
7	6354908	Sydney	Sydney	46.1351	-60.1831	CA	NS	105968
7	6166739	Timmins	Timmins	48.46686	-81.33312	CA	ON	42997
7	6182962	Windsor	Windsor	42.30008	-83.01654	CA	ON	278013
8	5911606	Burnaby	Burnaby	49.26636	-122.95263	CA	BC	202799
8	5913695	Cambridge	Cambridge	43.3601	-80.31269	CA	ON	120372
8	5927689	Coquitlam	Coquitlam	49.28297	-122.75262	CA	BC	114565
8	6325521	Lévis	Levis	46.80326	-71.17793	CA	QC	126396
8	6122085	Richmond	Richmond	49.17003	-123.13683	CA	BC	182000
7	5955895	Ft. McMurray	Fort McMurray	56.7335	-111.38519	CA	AB	
8	6136944	Saanich	Saanich	48.54964	-123.36931	CA	BC	
7	5921225	Chicoutimi	Chicoutimi	48.41963	-71.06369	CA	QC	
7	5920450	Chatham	Chatham	42.40009	-82.1831	CA	ON	5920450
