zoom	geonameid	name	asciiname	latitude	longitude	country code	admin1 code	population
4	4005539	Guadalajara	Guadalajara	20.66667	-103.33333	MX		1640589
4	3553478	Havana	Havana	23.13302	-82.38304	CU		2163824
4	3530597	Mexico City	Mexico City	19.42847	-99.12766	MX		12294193
5	3374036	Bridgetown	Bridgetown	13.1	-59.61667	BB		98511
5	4014338	Chihuahua	Chihuahua	28.63333	-106.08333	MX		708267
5	3580661	George Town	George Town	19.28692	-81.36706	KY		29370
5	3598132	Guatemala City	Guatemala City	14.64072	-90.51327	GT		994938
5	3573197	Hamilton	Hamilton	32.29149	-64.77797	BM		902
5	4013708	Juarez	Ciudad Juarez	31.73333	-106.48333	MX		1512354
5	3489854	Kingston	Kingston	17.99702	-76.79358	JM		937700
5	3998655	Leon	Leon	21.11667	-101.66667	MX		1114626
5	3617763	Managua	Managua	12.13282	-86.2504	NI		973087
5	3995465	Monterrey	Monterrey	25.66667	-100.31667	MX		1122874
5	3571824	Nassau	Nassau	25.05823	-77.34306	BS		227940
5	3703443	Panama City	Panama	8.9936	-79.51973	PA		408168
5	3718426	Port-au-Prince	Port-au-Prince	18.53917	-72.335	HT		1234742
5	4011469	Puebla	Puebla	32.56444	-115.35333	MX		8700
5	3621849	San Jose	San Jose	9.93333	-84.08333	CR		335007
5	4568127	San Juan	San Juan	18.46633	-66.10572	PR		418140
5	3583361	San Salvador	San Salvador	13.68935	-89.18718	SV		525990
5	3492908	Santo Domingo	Santo Domingo	18.50012	-69.98857	DO		2201941
5	3600949	Tegucigalpa	Tegucigalpa	14.0818	-87.20681	HN		850848
5	3981609	Tijuana	Tijuana	32.53333	-117.01667	MX		1376457
