zoom,name,abbreviation,ISO alpha 2,ISO alpha 3,ISO numeric,land area km,population,latitude,longitude,continent
3,Sudan,Sudan,SD,SDN,736,2505810,43939598,15.00,30.00,af
3,Algeria,Alg.,DZ,DZA,12,2381740,34586184,28.00,3.00,af
3,Dem. Rep. of the Congo,D.R.C.,CD,COD,180,2345410,70916439,-4.74,22.15,af
3,Libya,Libya,LY,LBY,434,1759540,6461454,25.00,17.00,af
3,Chad,Chad,TD,TCD,148,1284000,10543464,15.00,19.00,af
3,Niger,Niger,NE,NER,562,1267000,15878271,16.00,8.00,af
3,Angola,Ang.,AO,AGO,24,1246700,13068161,-12.50,18.50,af
3,S. Africa,S. Afr.,ZA,ZAF,710,1219912,49000000,-29.69,22.68,af
3,Ethiopia,Eth.,ET,ETH,231,1127127,88013491,8.00,38.00,af
3,Mauritania,Maur.,MR,MRT,478,1030700,3205060,20.00,-12.00,af
3,Egypt,Egypt,EG,EGY,818,1001450,80471869,27.00,30.00,af
3,Tanzania,Tan.,TZ,TZA,834,945087,41892895,-6.00,35.00,af
3,Nigeria,Nig.,NG,NGA,566,923768,154000000,10.00,8.00,af
3,Namibia,Nmb.,NA,NAM,516,825418,2128471,-22.00,17.00,af
3,Mozambique,Moz.,MZ,MOZ,508,801590,22061451,-18.25,35.00,af
3,Zambia,Zam.,ZM,ZMB,894,752614,13460305,-14.60,26.37,af
3,Somalia,Som.,SO,SOM,706,637657,10112453,6.00,48.00,af
3,Central African Republic,C.A.R.,CF,CAF,140,622984,4844927,7.00,21.00,af
3,Botswana,Bots.,BW,BWA,72,600370,2029307,-22.00,24.00,af
3,Madagascar,Madag.,MG,MDG,450,587040,21281844,-20.00,47.00,af
3,Kenya,Kenya,KE,KEN,404,582650,40046566,1.00,38.00,af
3,Cameroon,Camrn.,CM,CMR,120,475440,19294149,6.00,12.00,af
3,Morocco,Mor.,MA,MAR,504,446550,31627428,32.00,-5.00,af
3,Congo,Congo,CG,COG,178,342000,3039126,-1.00,15.00,af
3,Senegal,Sen.,SN,SEN,686,196190,12323252,14.00,-14.00,af
3,Tunisia,Tun.,TN,TUN,788,163610,10589025,34.00,9.00,af
4,Mali,Mali,ML,MLI,466,1240000,13796354,17.00,-4.00,af
4,Zimbabwe,Zimb.,ZW,ZWE,716,390580,11651858,-19.00,29.00,af
4,Cote d'Ivoire,C. Iv.,CI,CIV,384,322460,21058798,8.00,-5.00,af
4,Burkina Faso,Burkina,BF,BFA,854,274200,16241811,13.00,-2.00,af
4,Gabon,Gabon,GA,GAB,266,267667,1545255,-1.00,11.75,af
4,W. Sahara,W. Sah.,EH,ESH,732,266000,273008,24.49,-12.66,af
4,Guinea,Gui.,GN,GIN,324,245857,10324025,11.00,-10.00,af
4,Ghana,Ghana,GH,GHA,288,239460,24339838,8.00,-2.00,af
4,Uganda,Ug.,UG,UGA,800,236040,33398682,2.00,33.00,af
4,Eritrea,Erit.,ER,ERI,232,121320,5792984,15.00,39.00,af
4,Malawi,Malawi,MW,MWI,454,118480,15447500,-13.50,34.00,af
4,Benin,Benin,BJ,BEN,204,112620,9056010,9.50,2.25,af
4,Liberia,Lib.,LR,LBR,430,111370,3685076,6.50,-9.50,af
4,Sierra Leone,S.L.,SL,SLE,694,71740,5245695,8.50,-11.50,af
4,Togo,Togo,TG,TGO,768,56785,6587239,8.00,1.17,af
4,Guinea-Bissau,Gui.-B.,GW,GNB,624,36120,1565126,12.00,-15.00,af
4,Lesotho,Leso.,LS,LSO,426,30355,1919552,-29.50,28.25,af
4,Equatorial Guinea,Eq. Gui.,GQ,GNQ,226,28051,1014999,2.00,10.00,af
4,Burundi,Bdi.,BI,BDI,108,27830,9863117,-3.50,30.00,af
4,Rwanda,Rw.,RW,RWA,646,26338,11055976,-2.00,30.00,af
4,Djibouti,Dji.,DJ,DJI,262,23000,740528,11.50,42.50,af
4,Swaziland,Swaz.,SZ,SWZ,748,17363,1354051,-26.50,31.50,af
4,The Gambia,Gam.,GM,GMB,270,11300,1593256,13.50,-15.50,af
4,Cape Verde,C.V.,CV,CPV,132,4033,508659,16.00,-24.00,af
4,Mauritius,Mauritius,MU,MUS,480,2040,1294104,-20.30,57.58,af
4,São Tomé and Príncipe,S. Tom./P.,ST,STP,678,1001,175808,1.00,7.00,af
4,Seychelles,Sey.,SC,SYC,690,455,88340,-4.58,55.67,af
4,St. Helena,St. Hel.,SH,SHN,654,410,7460,-15.95,-5.70,af
4,Mayotte,May.,YT,MYT,175,374,159042,-12.83,45.17,af
