zoom	geonameid	name	asciiname	latitude	longitude	country code	admin1 code	population
4	2759794	Amsterdam	Amsterdam	52.37403	4.88969	NL		741636
4	264371	Athens	Athens	37.97945	23.71622	GR		729137
4	3128760	Barcelona	Barcelona	41.38879	2.15899	ES		1621537
4	2950159	Berlin	Berlin	52.52437	13.41053	DE		3426354
4	2800866	Brussels	Brussels	50.8466	4.35277	BE		1019022
4	2618425	Copenhagen	Copenhagen	55.67594	12.56553	DK		1153615
4	2925533	Frankfurt	Frankfurt am Main	50.11667	8.68333	DE		650000
4	745044	Istanbul	Istanbul	41.01384	28.94966	TR		11174257
4	703448	Kiev	Kiev	50.45466	30.5238	UA		2514227
4	2643743	London	London	51.50853	-0.12574	GB		7556900
4	3117735	Madrid	Madrid	40.4165	-3.70256	ES		3255944
4	3173435	Milan	Milano	45.46427	9.18951	IT		1306661
4	2988507	Paris	Paris	48.85341	2.3488	FR		2138551
4	3169070	Rome	Roma	41.89474	12.4839	IT		2563241
4	2673730	Stockholm	Stockholm	59.33258	18.0649	SE		1253309
4	2761369	Vienna	Vienna	48.20849	16.37208	AT		1691468
4	756135	Warsaw	Warsaw	52.22977	21.01178	PL		1702139
5	792680	Belgrade	Belgrade	44.80401	20.46513	RS		1273651
5	683506	Bucharest	Bucuresti	44.43225	26.10626	RO		1877155
5	3054643	Budapest	Budapest	47.49801	19.03991	HU		1696128
5	2964574	Dublin	Dublin	53.34399	-6.26719	IE		1024027
5	2650225	Edinburgh	Edinburgh	55.95	-3.2	GB		435791
5	2660646	Geneva	Geneve	46.20222	6.14569	CH		183981
5	2911298	Hamburg	Hamburg	53.55	10	DE		1739117
5	658225	Helsinki	Helsinki	60.16952	24.93545	FI		558457
5	2267057	Lisbon	Lisbon	38.71667	-9.13333	PT		517802
5	2995469	Marseille	Marseille	43.3	5.4	FR		794811
5	625144	Minsk	Minsk	53.9	27.56667	BY		1742124
5	2867714	Munich	Muenchen	48.13743	11.57549	DE		1260391
5	3172394	Naples	Napoli	40.83333	14.25	IT		988972
5	698740	Odessa	Odesa	46.47747	30.73262	UA		1001558
5	3143244	Oslo	Oslo	59.91325	10.73892	NO		580000
5	3067696	Prague	Praha	50.08804	14.42076	CZ		1165581
5	3413829	Reykjavik	Reykjavik	64.13548	-21.89541	IS		113906
5	456172	Riga	Riga	56.946	24.10589	LV		742572
5	727011	Sofia	Sofia	42.69751	23.32415	BG		1152556
5	2657896	Zurich	Zurich	47.36667	8.55	CH		341730
6	2521978	Alicante	Alicante	38.34517	-0.48149	ES		334757
6	2803138	Antwerp	Antwerp	51.21667	4.41667	BE		459805
6	2655984	Belfast	Belfast	54.58333	-5.93333	GB		274770
6	3161732	Bergen	Bergen	60.39316	5.32428	NO		213585
6	2661552	Bern	Bern	46.94809	7.44744	CH		121631
6	3128026	Bilbao	Bilbao	43.26271	-2.92528	ES		354860
6	2655603	Birmingham	Birmingham	52.46667	-1.91667	GB		984333
6	3181928	Bologna	Bologna	44.49381	11.33875	IT		371217
6	3031582	Bordeaux	Bordeaux	44.83333	-0.56667	FR		231844
6	3060972	Bratislava	Bratislava	48.14816	17.10674	SK		423737
6	2944388	Bremen	Bremen	53.07516	8.80777	DE		546501
6	2654675	Bristol	Bristol	51.45	-2.58333	GB		430713
6	2653822	Cardiff	Cardiff	51.48	-3.18	GB		302139
6	2886242	Cologne	Koeln	50.93333	6.95	DE		963395
6	2519240	Cordoba	Cordoba	37.88333	-4.76667	ES		328428
6	2965140	Cork	Cork	51.89861	-8.49583	IE		190384
6	709930	Dnipropetrovs’k	Dnipropetrovsk	48.45	34.98333	UA		1032822
6	709717	Donets’k	Donets'k	48	37.8	UA		1024700
6	2935517	Dortmund	Dortmund	51.51667	7.45	DE		588462
6	2935022	Dresden	Dresden	51.05089	13.73832	DE		486854
6	2934246	Dusseldorf	Dusseldorf	51.22172	6.77616	DE		573057
6	2928810	Essen	Essen	51.45	7.01667	DE		593085
6	3176959	Florence	Florence	43.76667	11.25	IT		371517
6	3099434	Gdansk	Gdansk	54.35205	18.64637	PL		461865
6	3176219	Genoa	Genova	44.40632	8.93386	IT		601951
6	2648579	Glasgow	Glasgow	55.86515	-4.25763	GB		610268
6	2711537	Goteborg	Goeteborg	57.70716	11.96679	SE		504084
6	3014728	Grenoble	Grenoble	45.16667	5.71667	FR		158552
6	2910831	Hannover	Hannover	52.37052	9.73322	DE		515140
6	3096472	Katowice	Katowice	50.26667	19.01667	PL		317316
6	706483	Kharkiv	Kharkiv	50	36.25	UA		1430885
6	3094802	Krakow	Krakow	50.08333	19.91667	PL		755050
6	2644688	Leeds	Leeds	53.79648	-1.54785	GB		455123
6	2879139	Leipzig	Leipzig	51.33962	12.37129	DE		504971
6	2644210	Liverpool	Liverpool	53.41058	-2.97794	GB		468945
6	3196359	Ljubljana	Ljubljana	46.05108	14.50513	SI		255115
6	3093133	Lodz	Lodz	51.75	19.46667	PL		768755
6	2960316	Luxembourg	Luxembourg	49.61167	6.13	LU		76684
6	2996944	Lyon	Lyon	45.75	4.85	FR		472317
6	2514256	Malaga	Malaga	36.72016	-4.42034	ES		568305
6	2643123	Manchester	Manchester	53.48095	-2.23743	GB		395515
6	2873891	Mannheim	Mannheim	49.48833	8.46472	DE		307960
6	2993458	Monaco	Monaco	43.73333	7.41667	MC		32965
6	2990969	Nantes	Nantes	47.21725	-1.55336	FR		277269
6	2990440	Nice	Nice	43.70313	7.26608	FR		338620
6	146268	Nicosia	Nicosia	35.16667	33.36667	CY		200452
6	2641170	Nottingham	Nottingham	52.9536	-1.15047	GB		246654
6	2861650	Nuremberg	Nuremberg	49.44778	11.06833	DE		499237
6	2523920	Palermo	Palermo	38.11582	13.35976	IT		672175
6	2735943	Porto	Porto	41.15	-8.61667	PT		249633
6	3088171	Pozan	Poznan	52.41667	16.96667	PL		570352
6	2747891	Rotterdam	Rotterdam	51.9225	4.47917	NL		598199
6	2982652	Rouen	Rouen	49.44313	1.09932	FR		112787
6	3191281	Sarajevo	Sarajevo	43.84864	18.35644	BA		696731
6	2510911	Seville	Sevilla	37.37722	-5.98694	ES		703206
6	2638077	Sheffield	Sheffield	53.38297	-1.4659	GB		447047
6	2825297	Stuttgart	Stuttgart	48.78232	9.17702	DE		589793
6	588409	Tallinn	Tallinn	59.43696	24.75353	EE		394024
6	2747373	The Hague	Den Haag	52.07667	4.29861	NL		474292
6	2972315	Toulouse	Toulouse	43.60426	1.44367	FR		433055
6	2972191	Tours	Tours	47.38333	0.68333	FR		141621
6	3133880	Trondheim	Trondheim	63.43052	10.39498	NO		147139
6	3165524	Turin	Torino	45.07049	7.68682	IT		865263
6	2509954	Valencia	Valencia	39.46975	-0.37739	ES		814208
6	3106672	Valladolid	Valladolid	41.65	-4.71667	ES		317864
6	3164603	Venice	Venice	45.43861	12.32667	IT		270816
6	3164527	Verona	Verona	45.43419	10.99779	IT		253208
6	3081368	Wroclaw	Wroclaw	51.1	17.03333	PL		634893
6	3186886	Zagreb	Zagreb	45.81444	15.97798	HR		698966
6	3104324	Zaragoza	Zaragoza	41.65606	-0.87734	ES		674317
