zoom	geonameid	name	asciiname	latitude	longitude	country code	admin1 code	population
4	3439389	Asuncion	Asuncion	-25.30066	-57.63591	PY		1482200
4	3688689	Bogota	Bogota	4.60971	-74.08175	CO		7102602
4	3469058	Brasilia	Brasilia	-15.77972	-47.92972	BR		2207718
4	3435910	Buenos Aries	Buenos Aires	-34.61315	-58.37723	AR		13076300
4	3646738	Caracas	Caracas	10.5	-66.91667	VE		3000000
4	3911925	La Paz	La Paz	-16.5	-68.15	BO		812799
4	3936456	Lima	Lima	-12.04318	-77.02824	PE		7737002
4	3441575	Montevideo	Montevideo	-34.83346	-56.16735	UY		1270737
4	3652462	Quito	Quito	-0.22985	-78.52495	EC		1399814
4	3451190	Rio de Janeiro	Rio de Janeiro	-22.90278	-43.2075	BR		6023699
4	3871336	Santiago	Santiago	-33.42628	-70.56656	CL		4837295
4	3448439	Sao Paulo	Sao Paulo	-23.5475	-46.63611	BR		10021295
5	3689147	Barranquilla	Barranquilla	10.96389	-74.79639	CO		1380425
5	3405870	Belem	Belem	-1.45583	-48.50444	BR		1407737
5	3470127	Belo Horizonte	Belo Horizonte	-19.92083	-43.93778	BR		2373224
5	3687925	Cali	Cali	3.43722	-76.5225	CO		2392877
5	3860259	Cordoba	Cordoba	-31.4	-64.18333	AR		1428214
5	3464975	Curitiba	Curitiba	-25.42778	-49.27306	BR		1718421
5	3399415	Fortaleza	Fortaleza	-3.71722	-38.54306	BR		2400000
5	3462377	Goiania	Goiania	-16.67861	-49.25389	BR		1171195
5	3657509	Guayaquil	Guayaquil	-2.16667	-79.9	EC		1952029
5	3663517	Manaus	Manaus	-3.10194	-60.025	BR		1598210
5	3633009	Maracaibo	Maracaibo	10.63167	-71.64056	VE		2225000
5	3674962	Medellin	Medellin	6.29139	-75.53611	CO		1999979
5	3452925	Porto Alegre	Porto Alegre	-30.03306	-51.23	BR		1372741
5	3390760	Recife	Recife	-8.05389	-34.88111	BR		1478098
5	3838583	Rosario	Rosario	-32.95111	-60.66639	AR		1173533
5	3450554	Salvador	Salvador	-12.97111	-38.51083	BR		2711840
5	3904906	Santa Cruz	Santa Cruz de la Sierra	-17.8	-63.16667	BO		1364389
5	3868626	Valparaiso	Valparaiso	-33.03932	-71.62725	CL		282448
5	3439101	Ciudad del Este	Ciudad del Este	-25.51667	-54.61667	PY		
