zoom	geonameid	name	asciiname	latitude	longitude	country code	admin1 code	population
4	4930956	Boston	Boston	42.35843	-71.05977	US	MA	589141
4	5128581	New York	New York City	40.71427	-74.00597	US	NY	8008278
4	4560349	Philadelphia	Philadelphia	39.95234	-75.16379	US	PA	1517550
4	4140963	Washington	Washington	38.89511	-77.03637	US	DC	552433
4	4180439	Atlanta	Atlanta	33.749	-84.38798	US	GA	422908
4	4164138	Miami	Miami	25.77427	-80.19366	US	FL	382894
4	4887398	Chicago	Chicago	41.85003	-87.65005	US	IL	2841952
5	5206379	Pittsburgh	Pittsburgh	40.44062	-79.99589	US	PA	319494
5	4347778	Baltimore	Baltimore	39.29038	-76.61219	US	MD	610892
5	4335045	New Orleans	New Orleans	29.95465	-90.07507	US	LA	484674
5	4641239	Memphis	Memphis	35.14953	-90.04898	US	TN	650100
5	4644585	Nashville	Nashville	36.16589	-86.78444	US	TN	530852
5	5150529	Cleveland	Cleveland	41.4995	-81.69541	US	OH	449514
5	4509177	Columbus	Columbus	39.96118	-82.99879	US	OH	736836
5	4508722	Cincinnati	Cincinnati	39.162	-84.45689	US	OH	306382
5	4990729	Detroit	Detroit	42.33143	-83.04575	US	MI	951270
5	4259418	Indianapolis	Indianapolis	39.76838	-86.15804	US	IN	773283
5	5263045	Milwaukee	Milwaukee	43.0389	-87.90647	US	WI	579180
6	5089178	Manchester	Manchester	42.99564	-71.45479	US	NH	109877
6	4951788	Springfield	Springfield	42.10148	-72.58981	US	MA	152227
6	5110629	Buffalo	Buffalo	42.88645	-78.87837	US	NY	279557
6	5134086	Rochester	Rochester	43.15478	-77.61556	US	NY	211354
6	5140405	Syracuse	Syracuse	43.04812	-76.14742	US	NY	141830
6	5106834	Albany	Albany	42.65258	-73.75623	US	NY	95658
6	5224151	Providence	Providence	41.82399	-71.41283	US	RI	177595
6	4835797	Hartford	Hartford	41.76371	-72.68509	US	CT	124019
6	5282804	Bridgeport	Bridgeport	41.16704	-73.20483	US	CT	139090
6	5101798	Newark	Newark	40.73566	-74.17237	US	NJ	280123
6	5188843	Erie	Erie	42.12922	-80.08506	US	PA	99801
6	5178127	Allentown	Allentown	40.60843	-75.49018	US	PA	105519
6	4145381	Wilmington	Wilmington	39.74595	-75.54659	US	DE	71356
6	4781708	Richmond	Richmond	37.55376	-77.46026	US	VA	190886
6	4776222	Norfolk	Norfolk	36.84681	-76.28522	US	VA	234403
6	4791259	Virginia Beach	Virginia Beach	36.85293	-75.97798	US	VA	425257
6	4487042	Raleigh	Raleigh	35.7721	-78.63861	US	NC	276093
6	4464368	Durham	Durham	35.99403	-78.89862	US	NC	204734
6	4499612	Winston-Salem	Winston-Salem	36.09986	-80.24422	US	NC	193300
6	4466033	Fayetteville	Fayetteville	35.05266	-78.87836	US	NC	124775
5	4460243	Charlotte	Charlotte	35.22709	-80.84313	US	NC	598351
6	4469146	Greensboro	Greensboro	36.07264	-79.79198	US	NC	231769
6	4575352	Columbia	Columbia	34.00071	-81.03481	US	SC	116278
6	4221552	Savannah	Savannah	32.08354	-81.09983	US	GA	131510
6	4188985	Columbus	Columbus	32.46098	-84.98771	US	GA	186470
6	4180386	Athens	Athens	33.96095	-83.37794	US	GA	45734
6	4180531	Augusta	Augusta	33.47097	-81.97484	US	GA	43459
6	4160021	Jacksonville	Jacksonville	30.33218	-81.65565	US	FL	797557
6	4167147	Orlando	Orlando	28.53834	-81.37924	US	FL	207970
6	4174715	Tallahassee	Tallahassee	30.43826	-84.28073	US	FL	153583
5	4174757	Tampa	Tampa	27.94752	-82.45843	US	FL	324465
6	4171563	St. Petersburg	Saint Petersburg	27.77086	-82.67927	US	FL	246316
6	4155966	Ft. Lauderdale	Fort Lauderdale	26.12231	-80.14338	US	FL	170510
6	4049979	Birmingham	Birmingham	33.52066	-86.80249	US	AL	231621
6	4076784	Montgomery	Montgomery	32.36681	-86.29997	US	AL	198325
6	4068590	Huntsville	Huntsville	34.73037	-86.5861	US	AL	158216
6	4076598	Mobile	Mobile	30.69436	-88.04305	US	AL	190274
6	4431410	Jackson	Jackson	32.29876	-90.18481	US	MS	176696
6	4315588	Baton Rouge	Baton Rouge	30.45075	-91.15455	US	LA	223349
6	4341513	Shreveport	Shreveport	32.52515	-93.75018	US	LA	200145
6	4330145	Lafayette	Lafayette	30.22409	-92.01984	US	LA	112197
